Gadgets information
============================================================
0x000000000011442f : call qword ptr [r10] // 41ff12
0x0000000000076d5f : call qword ptr [r14] // 41ff16
0x00000000000ba867 : call qword ptr [r15] // 41ff17
0x00000000000056e8 : nop ; retf 0x11 // 90ca1100
0x00000000000021ca : nop ; retf 0x3844 // 90ca4438
0x000000000015791a : out dx, al ; call qword ptr [rax] // eeff10
0x000000000007db1a : out dx, al ; call rax // eeffd0
0x000000000016bdc2 : out dx, al ; call rsp // eeffd4
0x0000000000175e1a : out dx, al ; jmp qword ptr [rcx] // eeff21
0x0000000000002899 : out dx, al ; retf 0x182c // eeca2c18
0x00000000000e735c : out dx, al ; syscall // ee0f05
0x000000000017645a : out dx, eax ; call qword ptr [rax] // efff10
0x000000000010cb6f : out dx, eax ; call qword ptr [rbx] // efff13
0x0000000000176662 : out dx, eax ; call qword ptr [rcx] // efff11
0x000000000017923a : out dx, eax ; call qword ptr [rdx] // efff12
0x0000000000179c02 : out dx, eax ; call qword ptr [rsi] // efff16
0x00000000000203a1 : out dx, eax ; call rax // efffd0
0x000000000009b757 : out dx, eax ; call rbx // efffd3
0x0000000000118072 : out dx, eax ; call rcx // efffd1
0x000000000015bcae : out dx, eax ; call rdi // efffd7
0x000000000010c726 : out dx, eax ; call rdx // efffd2
0x0000000000178682 : out dx, eax ; call rsi // efffd6
0x000000000016be62 : out dx, eax ; call rsp // efffd4
0x000000000015bd8a : out dx, eax ; jmp qword ptr [rax] // efff20
0x00000000001785a2 : out dx, eax ; jmp qword ptr [rbx] // efff23
0x0000000000177fe2 : out dx, eax ; jmp qword ptr [rcx] // efff21
0x00000000001769a2 : out dx, eax ; jmp qword ptr [rdi] // efff27
0x000000000017766a : out dx, eax ; jmp qword ptr [rdx] // efff22
0x000000000017801a : out dx, eax ; jmp qword ptr [rsi] // efff26
0x000000000015be8e : out dx, eax ; jmp rdx // efffe2
0x000000000016beba : out dx, eax ; jmp rsp // efffe4
0x0000000000098a43 : out dx, eax ; ret 0xf66 // efc2660f
0x000000000015a6bb : out dx, eax ; retf -0x54f3 // efca0dab
0x0000000000098a26 : out dx, eax ; retf 0x4466 // efca6644
0x00000000000037ee : outsb dx, byte ptr [rsi] ; retf // 6ecb
0x000000000008245f : outsd dx, dword ptr [rsi] ; ret // 6fc3
0x0000000000159246 : outsd dx, dword ptr [rsi] ; ret 0x5ae4 // 6fc2e45a
0x00000000000824aa : outsd dx, dword ptr [rsi] ; ret 0xf66 // 6fc2660f
0x00000000001220c9 : outsd dx, dword ptr [rsi] ; retf 0x4466 // 6fca6644
0x000000000014492a : outsd dx, dword ptr [rsi] ; retf 0xf66 // 6fca660f
0x000000000014441a : outsd dx, dword ptr [rsi] ; retf 0xff3 // 6fcaf30f
0x0000000000113654 : pop rax ; call rax // 58ffd0
0x0000000000113496 : pop rax ; jmp rcx // 58ffe1
0x0000000000035fc8 : pop rax ; ret // 58c3
0x00000000000e36dc : pop rax ; ret 0xfff3 // 58c2f3ff
0x0000000000190938 : pop rax ; ret 0xfff8 // 58c2f8ff
0x00000000001149d4 : pop rax ; retf // 58cb
0x0000000000069228 : pop rbp ; jmp rax // 5dffe0
0x000000000010a935 : pop rbp ; jmp rcx // 5dffe1
0x000000000010c082 : pop rbp ; jmp rdx // 5dffe2
0x000000000001f9c3 : pop rbp ; ret // 5dc3
0x0000000000074774 : pop rbx ; jmp rax // 5bffe0
0x0000000000031a38 : pop rbx ; ret // 5bc3
0x0000000000001b18 : pop rbx ; ret 0x2a63 // 5bc2632a
0x000000000015b100 : pop rbx ; ret 0x6f9 // 5bc2f906
0x00000000000b36d9 : pop rbx ; ret 0xfff6 // 5bc2f6ff
0x000000000007a491 : pop rbx ; retf // 5bcb
0x0000000000181380 : pop rcx ; ret // 59c3
0x000000000010bdd3 : pop rcx ; ret 0 // 59c20000
0x00000000000e4b72 : pop rcx ; retf // 59cb
0x00000000000e4d82 : pop rcx ; retf -0x3c7d // 59ca83c3
0x000000000009b463 : pop rcx ; retf 0x2f // 59ca2f00
0x00000000000e8d0c : pop rdi ; call rax // 5fffd0
0x000000000007b822 : pop rdi ; jmp rax // 5fffe0
0x000000000001fc6a : pop rdi ; ret // 5fc3
0x0000000000001c26 : pop rdi ; retf 0x49f2 // 5fcaf249
0x0000000000001b92 : pop rdx ; ret // 5ac3
0x0000000000159f83 : pop rdx ; retf // 5acb
0x000000000001fc1a : pop rsi ; ret // 5ec3
0x00000000000e4d4b : pop rsi ; ret 0xcdbb // 5ec2bbcd
0x000000000005adb4 : pop rsi ; retf // 5ecb
0x000000000000245f : pop rsi ; retf -0x75c1 // 5eca3f8a
0x000000000006b984 : pop rsp ; jmp rax // 5cffe0
0x0000000000003848 : pop rsp ; ret // 5cc3
0x000000000003f223 : pop rsp ; ret 0x35 // 5cc23500
0x00000000000c3f65 : pop rsp ; ret 0x4d08 // 5cc2084d
0x000000000000319d : pop rsp ; ret 0x52c0 // 5cc2c052
0x000000000017d564 : pop rsp ; retf // 5ccb
0x0000000000024d85 : pop rsp ; retf 0x13 // 5cca1300
0x0000000000042159 : pop rsp ; retf 0x4df0 // 5ccaf04d
0x000000000017e181 : popfq ; call qword ptr [rcx] // 9df2ff11
0x000000000017e1c9 : popfq ; jmp qword ptr [rcx] // 9df2ff21
0x0000000000065a47 : popfq ; ret // 9dc3
0x00000000000026b3 : popfq ; retf // 9dcb
0x000000000015ae62 : popfq ; retf -0x21b1 // 9dca4fde
0x00000000000fc3d7 : popfq ; retf 0x29 // 9dca2900
0x0000000000021168 : push rax ; call rbx // 50ffd3
0x0000000000007098 : push rax ; ret // 50c3
0x00000000000f2f8c : push rax ; retf // 50cb
0x0000000000007278 : push rax ; retf 0x10 // 50ca1000
0x0000000000176dd8 : push rbp ; ret // 55c3
0x00000000000026b5 : push rbp ; retf // 55cb
0x0000000000185106 : push rbx ; ret // 53c3
0x0000000000101568 : push rbx ; ret 0x29 // 53c22900
0x0000000000159225 : push rcx ; call qword ptr [rsi] // 51ff16
0x000000000017a2cb : push rcx ; ret // 51c3
0x00000000000e930b : push rcx ; ret 0 // 51c20000
0x0000000000059543 : push rcx ; retf // 51cb
0x0000000000184c29 : push rcx ; retf 0 // 51ca0000
0x000000000014533e : push rdi ; ret // 57c3
0x00000000001453de : push rdi ; ret 0xff3 // 57c2f30f
0x0000000000144f03 : push rdi ; retf // 57cb
0x0000000000144f83 : push rdi ; retf -0x354e // 57cab2ca
0x00000000000ffe65 : push rdi ; retf -0xe // 57caf2ff
0x0000000000178a40 : push rdx ; ret // 52c3
0x0000000000101562 : push rdx ; ret 0x29 // 52c22900
